"row ID","UF","nome","educação sem instrução","pobreza","renda"
"Row3711_Row222_Row5505","TOCANTINS","Sandolândia",70.34389837368363,51.85108173208447,1211.4336310917004
"Row3712_Row1268_Row2686","PARAÍBA","Emas",76.25549350653374,71.51996586398177,1039.7061923187075
"Row3714_Row4245_Row4446","SANTA CATARINA","Bom Retiro",68.11876960169502,27.451846281483782,2177.8685896949605
"Row3716_Row68_Row3","ACRE","Bujari",77.38422053411294,64.182972499291,1274.4556400273555
"Row3718_Row5310_Row4911","SÃO PAULO","Bertioga",59.642154207618646,22.172837224219393,2437.063540096405
"Row3726_Row4054_Row3320","PARANÁ","Planaltina do Paraná",63.39769805824139,25.49239318259636,1883.108566183208
"Row3728_Row2437_Row1395","MINAS GERAIS","Fronteira",67.6522595019865,26.050086014096593,1938.7909818049482
"Row3731_Row765_Row3105","PIAUÍ","Milton Brandão",86.73360698147583,79.33842899332474,649.9994291399178
"Row3742_Row658_Row1175","MARANHÃO","Vargem Grande",80.05175189391278,81.73274180942148,769.6877505514544
"Row3748_Row3861_Row3412","PARANÁ","Alvorada do Sul",63.40644393812883,30.67752796015281,2166.11067984728
"Row3766_Row1181_Row3794","RIO GRANDE DO NORTE","Triunfo Potiguar",74.13740933927325,58.262610449413046,1065.125327596062
"Row3774_Row4394_Row4436","SANTA CATARINA","Nova Erechim",60.35316505253739,8.199838221153339,3310.668190244458
"Row3780_Row1265_Row2675","PARAÍBA","Diamante",73.73765632509239,70.42272367134898,1022.1311483796121
"Row3794_Row2768_Row2184","MINAS GERAIS","Pitangui",61.59200185021166,24.138551338088163,2368.9501610335533
"Row3807_Row4330_Row600","BAHIA","Ouriçangas",74.07378308690585,62.75775858815844,1137.5062751683438
"Row3809_Row2478_Row1347","MINAS GERAIS","Itacarambi",70.50338801679949,61.05038977802286,1360.496403557766
"Row3811_Row5560_Row3022","PIAUÍ","Castelo do Piauí",77.75506458273314,64.88492954461206,1043.8027947137334
"Row3814_Row2176_Row1643","MINAS GERAIS","Andrelândia",65.74587997661354,38.3808045357441,1713.2334416770111
"Row3818_Row3012_Row855","ESPIRITO SANTO","Mantenópolis",72.04128311811351,51.30787832434884,1303.7721267841134
"Row3832_Row580_Row1292","MARANHÃO","Peri Mirim",70.87638736425805,79.68092565369946,811.0797542138049
"Row3839_Row1871_Row288","BAHIA","Campo Formoso",76.83681269881708,70.87316408915919,1033.6620585600929
"Row3857_Row2440_Row1399","MINAS GERAIS","Frutal",60.28899107753517,20.420596584246713,2408.238886804977
"Row3876_Row1664_Row77","ALAGOAS","Matriz de Camaragibe",78.05711666020676,74.23731097921065,957.2046062421416
"Row3881_Row3021_Row875","ESPIRITO SANTO","Sooretama",71.14746066747395,46.20745149297168,1556.178423842277
"Row3884_Row3654_Row5073","SÃO PAULO","Salto Grande",63.94415295095219,32.11932019978015,1534.7407605497754
"Row3885_Row3775_Row5262","SÃO PAULO","Sorocaba",45.682885917680025,14.55671851284609,3594.5240381695794
"Row3907_Row2016_Row563","BAHIA","Morro do Chapéu",77.15945172116794,72.39619898177492,955.9936564324347
"Row3912_Row85_Row139","AMAZONAS","Caapiranga",79.1982352005361,72.71677805082822,1165.6377304345772
"Row3930_Row2413_Row1891","MINAS GERAIS","Eugenópolis",67.78165978130379,38.56454006802449,1496.8009277789724
"Row3937_Row5292_Row1075","GOIÁS","Turvânia",64.40173533147994,36.29532988642186,1476.1944540487475
"Row3940_Row704_Row3017","PIAUÍ","Capitão de Campos",80.30296191918447,66.1253378175879,964.5683541670143
"Row3950_Row670_Row3080","PIAUÍ","Itainópolis",81.53566813448991,66.08465619347784,853.2385371699418
"Row3951_Row3309_Row5416","SÃO PAULO","Embu-Guaçu",53.742645741240274,26.786707569549833,2538.7624785709118
"Row3959_Row1382_Row2735","PARAÍBA","São Bentinho",76.73313557742934,62.6167613615502,1009.0191277906546
"Row3965_Row720_Row3029","PIAUÍ","Colônia do Piauí",79.71729403394045,63.06841615518681,1137.553949261933
"Row3966_Row2544_Row1391","MINAS GERAIS","Jaíba",72.50532292045756,49.399047983980296,1500.5350108494915
"Row3968_Row2889_Row1984","MINAS GERAIS","São Miguel do Anta",74.91863141388059,50.12800104381631,1296.5524141383514
"Row3969_Row2540_Row1385","MINAS GERAIS","Jacinto",76.64909445484095,57.567834617362706,1073.9643757133183
"Row3975_Row4233_Row4147","RIO GRANDE DO SUL","Pinhal",65.32680769059522,24.970622283810243,2031.6771643878467
"Row3976_Row5084_Row883","GOIÁS","Abadiânia",64.94199685839911,32.38954153808468,1922.8317612190253
"Row3977_Row4464_Row4088","RIO GRANDE DO SUL","Agudo",67.98830522292285,21.777099710290127,2857.4001915051667
"Row3979_Row2509_Row2157","MINAS GERAIS","Ipanema",67.98493556352784,43.510429438460186,1530.9507510766275
"Row3982_Row926_Row701","CEARÁ","Ibicuitinga",69.24221294438088,76.52980473410503,710.7822332398403
"Row3996_Row2023_Row578","BAHIA","Muritiba",64.9847924242287,56.263315241358214,1414.2108738623022
"Row3997_Row4759_Row3943","RIO GRANDE DO SUL","Osório",54.588039284413824,18.910784587703873,2937.1090431747593
"Row3999_Row4857_Row4303","RIO GRANDE DO SUL","São José do Hortêncio",65.07754430850599,5.630683954954495,2297.396726779993
