"row ID","UF","nome","educação sem instrução","renda","Prediction (pobreza)","pobreza"
"Row0_Row2091_Row339","BAHIA","Tremedal",83.77638745516785,917.3563387454968,71.12016581203865,66.07254469908976
"Row1_Row4931_Row4282","RIO GRANDE DO SUL","Turuçu",79.65246808919574,2004.594859483776,43.168556089846845,35.42935304213689
"Row2_Row5374_Row857","ESPIRITO SANTO","Vitória",36.059089848306776,5698.226715642712,-68.77123922793234,14.992136389530195
"Row4_Row774_Row3134","PIAUÍ","Nazária",77.36220637460885,906.9048619206433,67.68435127774441,71.07669082278731
"Row6_Row840_Row3171","PIAUÍ","Teresina",50.54871248275639,2905.871850755959,5.254437115900274,38.95596439078375
"Row7_Row668_Row2976","PIAUÍ","Amarante",74.04040547462488,1038.1022789085134,62.69034379777569,62.05505202300324
"Row8_Row5206_Row1112","GOIÁS","Matrinchã",68.83834868437704,1382.1802632316253,51.60764309784776,35.052683681320666
"Row9_Row374_Row5538","PERNAMBUCO","Cachoeirinha",69.54372915250542,1012.2207877912629,60.718274420642345,66.04062415085302
"Row10_Row130_Row2518","PARÁ","Afuá",88.22968533383097,851.8314927032018,75.21827395119055,83.54907495757499
"Row11_Row1499_Row2817","PERNAMBUCO","Fernando de Noronha",39.85968154557661,4134.4012290759065,-29.790362705352564,5.7093357808133565
"Row12_Row4619_Row4254","RIO GRANDE DO SUL","Frederico Westphalen",55.20859092596224,2753.942307526374,11.504364427731687,17.954322255061992
"Row13_Row1718_Row4711","SERGIPE","Amparo de São Francisco",69.57359580562617,942.0009127690324,62.38780451510432,68.49287102783829
"Row14_Row2526_Row1363","SÃO PAULO","Itapeva",63.72769070851443,1914.6156947742147,36.145051928944504,32.39964895761436
"Row15_Row1209_Row2645","PARAÍBA","Bayeux",65.6847318060793,1444.525106615038,48.33038539691669,51.33651218655943
"Row16_Row345_Row5515","TOCANTINS","Ananás",68.15502209025246,1498.2774069302209,48.48345960582986,52.48539362982642
"Row17_Row2708_Row1681","MINAS GERAIS","Santo Antônio do Retiro",78.67782525066927,663.6236700709977,74.1643171386748,79.95810874938452
"Row18_Row1400_Row2760","PARAÍBA","Serra Branca",71.99691219642412,1098.2947184017455,60.10094910306814,57.15347776923292
"Row19_Row92_Row147","AMAZONAS","Envira",83.91369300853377,995.3309609812343,69.36411127492995,80.20261971942205
"Row20_Row417_Row5479","TOCANTINS","Oliveira de Fátima",62.41526353419516,1199.0995138188487,52.228961965666755,55.08913446553615
"Row21_Row3306_Row4865","SÃO PAULO","Elisiário",57.614846713333634,2287.311604309149,23.86613149767353,6.901818298566884
