"UF","nome","PIB","Pop_est_2009","PIB_percapita","v0002_codigo_do_municipio","educação sem instrução","pobreza","renda"
"SÃO PAULO","Barretos",1653910.75,113618,14556.76953125,3505500,48.61264524743686,13.982545257468662,2966.454853723726
"MINAS GERAIS","Ilicínea",90500.046875,11828,7651.33984375,3130507,69.445740411079,30.509489769483608,1742.7335622775079
"MINAS GERAIS","Conselheiro Pena",167532.78125,22539,7433.02001953,3118403,71.44581668353163,50.18978711303782,1428.21068537129
"ALAGOAS","Paripueira",44169.84765625,10222,4321.06005859,2706448,74.58238010668364,65.28459095307227,1319.5370342065128
"GOIÁS","Panamá",49949.5390625,2665,18742.7890625,5216007,67.31671917670798,26.481196389836526,1621.9547652524227
"MATO GROSSO","Nova Nazaré",27923.3046875,2955,9449.50976562,5106174,75.16089903346214,54.668398040194475,1467.2485970027853
"BAHIA","Nova Ibiá",33765.703125,7029,4803.77001953,2922755,81.16555692500171,61.232421778087,1291.6509131041353
"MINAS GERAIS","Extrema",1394322.5,27155,51346.80078125,3125101,59.48613783869885,14.754664283044093,2573.587484553811
"MINAS GERAIS","Sete Lagoas",4105512,225358,18217.73046875,3167202,53.04313189188263,22.66343350287014,2829.057772123971
"PERNAMBUCO","Riacho das Almas",88251.09375,18930,4661.97021484,2611705,82.08206790464024,61.80723037641124,1015.799147252648
"BAHIA","Inhambupe",163543.890625,36719,4453.93017578,2913705,78.86968333273711,70.66019549566305,971.4975716617224
"BAHIA","Ibicoara",226989.453125,16940,13399.61035156,2912202,76.61273914698832,64.63740538327437,1158.107442782999
"BAHIA","Pedrão",24826.99804688,7597,3268,2924108,75.51543653067489,73.32512449470502,927.4132239721996
"TOCANTINS","Santa Maria do Tocantins",20152.46484375,2807,7179.35986328,1718881,71.03348098271184,58.77502541758258,1196.117351225897
"MINAS GERAIS","Casa Grande",17346.85742188,2129,8147.89013672,3114907,69.6780608754367,49.226562007743844,1373.1216357400028
"PARAÍBA","São José de Princesa",17805.90820312,4756,3743.87988281,2514552,79.60242362665198,66.31621231758125,967.3142610351492
"PERNAMBUCO","Ibimirim",122712.40625,29018,4228.83984375,2606606,79.45177573166494,74.59345298215278,894.4306164435063
"RIO GRANDE DO SUL","Rolador",39476.296875,2869,13759.59960938,4315958,69.17584870407094,33.80080198577048,1649.800831592364
"MINAS GERAIS","Soledade de Minas",34376.37890625,5795,5932.08007812,3167806,65.3507703850737,35.118709319830685,1719.8920311295956
"SANTA CATARINA","Irani",106351.1875,9754,10903.33984375,4207809,61.53468244462246,18.78974340748502,2463.2935808983607
"MARANHÃO","Palmeirândia",66771.796875,18772,3556.98999023,2107605,77.17453915910968,83.31698734723143,694.6996214467429
"RIO GRANDE DO NORTE","Japi",21833.80664062,5693,3835.19995117,2405405,78.06511344726252,74.14630476947643,758.1939336028461
"SÃO PAULO","Bento de Abreu",65185.91015625,2982,21859.80078125,3506201,55.84176788155365,15.231627969984373,2187.9960767084567
"PARAÍBA","Soledade",64857.828125,13623,4760.91015625,2516102,73.92136066081055,60.23578919038464,1174.4504119208195
"GOIÁS","Itumbiara",2151446.5,92832,23175.69921875,5211503,54.96081195984026,18.40001808034178,2615.851426617132
"TOCANTINS","Santa Rosa do Tocantins",49180.37890625,4565,10773.36035156,1718907,75.91271769806127,67.6844040534761,969.3637930113476
"SÃO PAULO","Jaci",136558.5625,5556,24578.58007812,3524501,60.9611421623795,17.10097224866132,2155.998880488181
"RIO GRANDE DO SUL","Santa Clara do Sul",83222.2421875,5868,14182.38964844,4316758,58.69002476641003,7.148590320765496,2764.429865927312
"SÃO PAULO","Monte Aprazível",439778.15625,21015,20926.86914062,3531407,52.35899331485548,10.235532890445093,3396.083635262501
"MINAS GERAIS","Delta",222820.390625,7210,30904.34960938,3121258,75.34334835210484,27.930780668632764,1790.6279976878152
"SÃO PAULO","Murutinga do Sul",43550,4290,10151.51953125,3532108,59.25496413705835,23.654478056332067,1983.758739289564
"SÃO PAULO","Suzanápolis",106581.4296875,3805,28010.890625,3552551,64.47946049150343,33.77180328683515,1651.6821757047644
"CEARÁ","Palhano",38838.16015625,9268,4190.56982422,2310001,64.31437102308931,61.630190956617156,1082.4522039010687
"SERGIPE","Santa Rosa de Lima",21898.6953125,3996,5480.14990234,2806503,73.6478180670488,78.08947895838597,801.4375291584148
"MINAS GERAIS","Ibertioga",36401.06640625,5206,6992.14013672,3129400,74.0171866095161,52.185270248194364,1219.7455576099194
"BAHIA","Sítio do Mato",57113.71484375,13187,4331.06005859,2930758,77.01491821967447,87.07579168072266,526.5896338096387
"PARAÍBA","Piancó",74325.6484375,16455,4516.89990234,2511301,68.99788817028926,61.55858803252961,1141.1357143275134
"GOIÁS","Rianápolis",74336.078125,4256,17466.1796875,5218706,68.70905396852434,30.71736306585759,1782.530474543336
"GOIÁS","Guapó",88643.953125,13973,6343.95019531,5209200,67.38827368207647,32.799486882984965,2128.392221411993
"MINAS GERAIS","Turvolândia",66255.15625,5020,13198.24023438,3169802,68.56325394232485,26.04820954169935,2146.1823069626125
"RIO GRANDE DO SUL","Manoel Viana",97963.34375,6954,14087.33984375,4311759,67.70125912962052,38.14049684897158,1755.9542957737424
"GOIÁS","Vicentinópolis",135124.515625,6093,22177.00976562,5222054,69.36946553627537,26.793652805415803,2143.7743426179195
"SÃO PAULO","Nuporanga",139958.46875,7004,19982.65039062,3533601,61.07052941721631,16.572753026405717,2441.111188876552
"SÃO PAULO","Populina",59528.67578125,4253,13996.87011719,3540408,64.28166772331426,19.690440462376536,1863.1063584200826
"MINAS GERAIS","Datas",26411.16992188,5696,4636.79003906,3121001,73.72993679482532,53.888659498061216,1292.1411893196648
"SÃO PAULO","Iacanga",345773.4375,9732,35529.53125,3519105,58.835812455410206,15.824717771356326,2484.1515823126533
"PARÁ","Alenquer",208143.0625,57067,3647.35009766,1500404,79.96003317840236,77.03305954651375,926.702446127948
"BAHIA","Iuiú",54116.75,12093,4475.04980469,2917334,75.71493802830392,69.1030874588845,1106.2379245155726
"RIO GRANDE DO SUL","Trindade do Sul",68865.65625,6105,11280.20996094,4321956,67.22136227451045,37.125038487438104,1607.3605484584025
